name,phone,email,website,type,address,city,postcode
Barbier City 82,+49 241 79549263,barbier-city-82@web.de,https://www.barbier-city-82.de,Barber,"Kaiserstraße 119, 52068 Aachen",Aachen,52068
Barbier Zentrum 69,+49 241 64928482,barbier-zentrum-69@outlook.de,,Hairdresser,"Lindenstraße 116, 52068 Aachen",Aachen,52068
Damenfriseur 10,+49 241 43698228,info@damenfriseur-10.de,https://www.damenfriseur-10.de,Hairdresser,"Berliner Straße 48, 52066 Aachen",Aachen,52066
Damenfriseur Aachen,+49 241 93006059,damenfriseur-aachen@web.de,https://www.damenfriseur-aachen.de,Barber,"Schillerstraße 60, 52072 Aachen",Aachen,52072
Damenfriseur City 80,+49 241 53055944,info@damenfriseur-city-80.de,https://www.damenfriseur-city-80.de,Barber,"Hamburger Straße 80, 52064 Aachen",Aachen,52064
Friseursalon Zentrum 24,+49 241 62774703,friseursalon-zentrum-24@gmail.com,https://www.friseursalon-zentrum-24.de,Barber,"Schillerstraße 116, 52064 Aachen",Aachen,52064
Frisör City 25,+49 241 83169267,frisr-city-25@t-online.de,https://www.frisr-city-25.de,Hairdresser,"Hamburger Straße 101, 52072 Aachen",Aachen,52072
Gentlemen's Cut Aachen,+49 241 79325634,gentlemens-cut-aachen@web.de,https://www.gentlemens-cut-aachen.de,Hairdresser,"Lindenstraße 23, 52070 Aachen",Aachen,52070
Haarstudio Aachen,+49 241 87349083,kontakt@haarstudio-aachen.de,https://www.haarstudio-aachen.de,Hairdresser,"Goethestraße 26, 52076 Aachen",Aachen,52076
Haarstudio Zentrum 28,+49 241 36318428,haarstudio-zentrum-28@web.de,https://www.haarstudio-zentrum-28.de,Hairdresser,"Kirchstraße 77, 52066 Aachen",Aachen,52066
Hair & Beauty Aachen,+49 241 21024893,info@hair--beauty-aachen.de,https://www.hair--beauty-aachen.de,Hairdresser,"Lindenstraße 101, 52070 Aachen",Aachen,52070
Hair & Beauty Aachen 45,+49 241 44297137,info@hair--beauty-aachen-45.de,,Hairdresser,"Berliner Straße 126, 52072 Aachen",Aachen,52072
Herrenfriseur City 71,+49 241 47902387,info@herrenfriseur-city-71.de,https://www.herrenfriseur-city-71.de,Hairdresser,"Kölner Straße 93, 52068 Aachen",Aachen,52068
Schnitt & Style City 74,+49 241 69542486,info@schnitt--style-city-74.de,https://www.schnitt--style-city-74.de,Hairdresser,"Kirchstraße 84, 52074 Aachen",Aachen,52074
Style Studio 89,+49 241 87033148,kontakt@style-studio-89.de,https://www.style-studio-89.de,Hairdresser,"Bahnhofstraße 146, 52074 Aachen",Aachen,52074
Style Studio City 45,+49 241 45684119,info@style-studio-city-45.de,,Hairdresser,"Münchner Straße 79, 52070 Aachen",Aachen,52070
Style Studio Mitte 10,+49 241 30645462,style-studio-mitte-10@t-online.de,https://www.style-studio-mitte-10.de,Hairdresser,"Kirchstraße 79, 52074 Aachen",Aachen,52074
Barber Augsburg,+49 821 96543571,termin@barber-augsburg.de,,Barber,"Goethestraße 59, 86156 Augsburg",Augsburg,86156
Barber Augsburg 90,+49 821 82202384,kontakt@barber-augsburg-90.de,,Barber,"Bahnhofstraße 89, 86154 Augsburg",Augsburg,86154
Barbier Augsburg,+49 821 87997508,barbier-augsburg@t-online.de,,Hairdresser,"Marktplatz 112, 86154 Augsburg",Augsburg,86154
Barbier Mitte 65,+49 821 45005292,kontakt@barbier-mitte-65.de,https://www.barbier-mitte-65.de,Hairdresser,"Kölner Straße 31, 86156 Augsburg",Augsburg,86156
Damenfriseur Zentrum 76,+49 821 36808000,kontakt@damenfriseur-zentrum-76.de,https://www.damenfriseur-zentrum-76.de,Hairdresser,"Berliner Straße 143, 86153 Augsburg",Augsburg,86153
Friseursalon Augsburg,+49 821 88320549,termin@friseursalon-augsburg.de,,Hairdresser,"Friedrichstraße 4, 86152 Augsburg",Augsburg,86152
Frisör Augsburg,+49 821 81983084,salon@frisr-augsburg.de,https://www.frisr-augsburg.de,Hairdresser,"Kaiserstraße 51, 86156 Augsburg",Augsburg,86156
Gentlemen's Cut 93,+49 821 16116583,service@gentlemens-cut-93.de,https://www.gentlemens-cut-93.de,Barber,"Hamburger Straße 94, 86153 Augsburg",Augsburg,86153
Gentlemen's Cut Zentrum 73,+49 821 87187184,info@gentlemens-cut-zentrum-73.de,https://www.gentlemens-cut-zentrum-73.de,Hairdresser,"Bahnhofstraße 147, 86161 Augsburg",Augsburg,86161
